offline_probability,reconstruction_success_rate,reconstruction_success_ci_low,reconstruction_success_ci_high,audit_pass_rate,audit_pass_ci_low,audit_pass_ci_high,catastrophic_detection_rate,catastrophic_trials
0.0,1.0,0.9996799808766326,1.0,1.0,0.9996799808766326,1.0,1.0,0
0.025,1.0,0.9996799808766326,1.0,0.8159166666666666,0.8088818796395747,0.8227492549443107,1.0,0
0.05,1.0,0.9996799808766326,1.0,0.6664166666666667,0.6579286697717229,0.6747981505300497,1.0,0
0.075,1.0,0.9996799808766326,1.0,0.5336666666666666,0.524731646333492,0.5425801390455346,1.0,0
0.1,0.9995833333333334,0.9990249020372447,0.9998220121886573,0.4350833333333333,0.42623525249828387,0.44397296331790004,1.0,5
0.125,0.9983333333333333,0.9974269241272443,0.998920790146466,0.34358333333333335,0.3351376470154553,0.3521291323003049,1.0,20
0.15,0.9945,0.9930092838495308,0.9956742172374589,0.2733333333333333,0.2654329059850601,0.2813788360175332,0.9848484848484849,66
0.175,0.981,0.978398923352374,0.9832932182509464,0.21091666666666667,0.20371057586727315,0.21830778185588712,0.9780701754385965,228
0.2,0.9576666666666667,0.9539152888348558,0.9611251203275551,0.16708333333333333,0.16051549742060423,0.1738642486457046,0.9763779527559056,508
0.225,0.9141666666666667,0.9090213239180357,0.9190469269081082,0.13066666666666665,0.12475444859597072,0.13681527219649006,0.9941747572815534,1030
0.25,0.8456666666666667,0.8390923488319143,0.852019744614131,0.10425,0.09890855417241762,0.10984474096372773,0.9859611231101512,1852
0.275,0.7518333333333334,0.7440251514025371,0.7594803322989936,0.07308333333333333,0.06856190244773909,0.07787800721376285,0.9858965748824715,2978
0.3,0.64125,0.6326244743104396,0.649785120287209,0.0575,0.05347470441669473,0.061808512507485494,0.9886178861788618,4305
0.325,0.5276666666666666,0.518726972845288,0.536588652763219,0.0445,0.040954104907227735,0.04833743251416004,0.98712067748765,5668
0.35,0.4048333333333333,0.39608270695059467,0.4136448700225529,0.035916666666666666,0.03273302822680578,0.03939733618953313,0.9883786054326519,7142
0.375,0.28441666666666665,0.2764149526395555,0.2925563622724697,0.024833333333333332,0.02219740175637561,0.02777338975053129,0.9903342261558169,8587
0.4,0.20466666666666666,0.19754307143435088,0.2119792865278515,0.0175,0.015303628290444338,0.020005190163605285,0.9917225481978206,9544
