sample_size,strategy,catastrophic_detection_rate,catastrophic_detection_ci_low,catastrophic_detection_ci_high,catastrophic_trials,audit_pass_rate,audit_pass_ci_low,audit_pass_ci_high
4,uniform,0.9535738142952572,0.94543834587679,0.9605468562454176,2994,0.518375,0.5106293129406374,0.526111865826534
4,stratified,1.0,0.998722427213638,1.0,3003,0.3814375,0.3739403341526661,0.38899158380201376
6,uniform,0.9947807933194155,0.9914061835678688,0.9968344963636233,2874,0.449625,0.4419299901647076,0.4573441932150879
6,stratified,1.0,0.9986825556619091,1.0,2912,0.3818125,0.3743138287519802,0.3893679091775399
8,uniform,0.99763991908294,0.9951361532297123,0.9988563008901185,2966,0.4060625,0.39847644919683595,0.41369364710568585
8,stratified,1.0,0.9986897453785788,1.0,2928,0.3755,0.36802730464170075,0.38303246371134214
10,uniform,1.0,0.9987078157803215,1.0,2969,0.3764375,0.3689608612465612,0.38397345704358227
10,stratified,1.0,0.998663301759774,1.0,2870,0.3719375,0.36448006325672283,0.37945641533533775
12,uniform,1.0,0.9986458676396068,1.0,2833,0.3765,0.36902309941806916,0.384036188867881
12,stratified,1.0,0.9986839097378567,1.0,2915,0.364875,0.35744910212395536,0.3723657669419476
16,uniform,1.0,0.9986683986362757,1.0,2881,0.3493125,0.3419622419807185,0.35673509812931486
16,stratified,1.0,0.998695086377976,1.0,2940,0.347625,0.34028345938374677,0.35503969083950554
