selective_withholders,reconstruction_success_rate,reconstruction_success_ci_low,reconstruction_success_ci_high,audit_pass_rate,audit_pass_ci_low,audit_pass_ci_high
0,1.0,0.9990405567102987,1.0,1.0,0.9990405567102987,1.0
1,1.0,0.9990405567102987,1.0,1.0,0.9990405567102987,1.0
2,1.0,0.9990405567102987,1.0,1.0,0.9990405567102987,1.0
3,1.0,0.9990405567102987,1.0,1.0,0.9990405567102987,1.0
4,1.0,0.9990405567102987,1.0,1.0,0.9990405567102987,1.0
5,1.0,0.9990405567102987,1.0,1.0,0.9990405567102987,1.0
6,1.0,0.9990405567102987,1.0,1.0,0.9990405567102987,1.0
7,1.0,0.9990405567102987,1.0,1.0,0.9990405567102987,1.0
8,1.0,0.9990405567102987,1.0,1.0,0.9990405567102987,1.0
9,1.0,0.9990405567102987,1.0,1.0,0.9990405567102987,1.0
10,1.0,0.9990405567102987,1.0,1.0,0.9990405567102987,1.0
11,0.0,0.0,0.0009594432897014858,1.0,0.9990405567102987,1.0
12,0.0,0.0,0.0009594432897014858,1.0,0.9990405567102987,1.0
13,0.0,0.0,0.0009594432897014858,1.0,0.9990405567102987,1.0
14,0.0,0.0,0.0009594432897014858,1.0,0.9990405567102987,1.0
