n,threshold,sample_size,detection_probability
32,17,1,0.5
32,17,2,0.7580645161290323
32,17,3,0.8870967741935484
32,17,4,0.9493882091212458
32,17,5,0.9783092324805339
32,17,6,0.9911630206402176
32,17,7,0.996601161784699
32,17,8,0.9987764182424916
32,17,9,0.9995921394141639
32,17,10,0.9998758685173542
32,17,11,0.9999661459592785
32,17,12,0.9999919395141139
32,17,13,0.9999983879028228
32,17,14,0.9999997454583405
32,17,15,0.9999999717175934
32,17,16,0.999999998336329
32,22,1,0.34375
32,22,2,0.5766129032258065
32,22,3,0.7318548387096775
32,22,4,0.8335650723025584
32,22,5,0.8989502224694105
32,22,6,0.9401186503522432
32,22,7,0.9654530675109095
32,22,8,0.9806537178061093
32,22,9,0.9895207638116426
32,22,10,0.9945325724234657
32,22,11,0.9972662862117329
32,22,12,0.9986982315293966
32,22,13,0.9994142041882285
32,22,14,0.9997533491318856
32,22,15,0.9999040802179555
32,22,16,0.9999661459592785
32,25,1,0.25
32,25,2,0.44354838709677424
32,25,3,0.5919354838709677
32,25,4,0.7045050055617352
32,25,5,0.7889321468298109
32,25,6,0.8514707699913484
32,25,7,0.897172071532472
32,25,8,0.930077008642081
32,25,9,0.9533846724280539
32,25,10,0.9695986994096004
32,25,11,0.9806537178061093
32,25,12,0.9880237300704486
32,25,13,0.9928142380422692
32,25,14,0.9958398220244716
32,25,15,0.9976887900135953
32,25,16,0.9987764182424916
